,id,created_at,text,table_name,table_schema,user_id,user_name,user_screen_name,user_description,user_followers_count
0,1387930610694451202,2021-04-30 00:43:38 UTC,"Gubernur Khofifah Indar Parawansa dalam sambutanya mengatakan, melalui kerjasama antar daerah Ini",khofifah_aspect,pr_politicalresearch,1376560485043081220,Yuliana Salsabila,YulianaSalsab20,,16
1,1384417993614974977,2021-04-20 08:05:45 UTC,Gebetan Twitter saya adalah: @paduka_oyen Temukan milikmu di https://t.co/0VNkI09rIy ⠀ https://t.co/JluYR8eg4y,nersocmed_aspect,pr_nergeneral,1184519607874273280,amro,ashq_noum,"pisces ✌️, hanya ingin merasa hidup seutuhnya walaupun sekadar di twitland.",1466
2,1385220800316198917,2021-04-22 13:15:49 UTC,"@nonasenjaa13 tdi pas bukber itu tujuannya sbnrnya ngasih stnk, eh malaah keasikan makan��",bukber_aspect,pr_ikoninsight,1241672087040741377,ln At=ln Ao - kt,aowkowwo,"do not grow up, it' s a trap",150
3,1387889984418443265,2021-04-29 22:02:12 UTC,Megawati tidak bodoh yang bodoh yang ngasih jabatan.,megawati_aspect,pr_politicalresearch,748790653077757952,Oentoeng,hariyantorina2,,404
4,1388234412425314305,2021-04-30 20:50:50 UTC,"Liat baju-baju buat lebaran di shopee sama di ig emang bagus. Tapi mikir-mikir dulu kalo mau beli, dan ujungnya ga kebeli.",belanjaramadhan_aspect,pr_ikoninsight,1664662938,Gaa��️,sryglhmr_,Baca tweet sematanku!,601
5,1387930806727761921,2021-04-30 00:44:25 UTC,"“Alhamdulilah, selama tujuh tahun berturut-turut kita bisa memperoleh SAKIP dengan predikat A. Karenanya, terimakasih atas kerjasama dan sinergi yang telah dibangun seluruh OPD Pemprov Jatim,” kata Gubernur Khofifah",khofifah_aspect,pr_politicalresearch,1348554826037161984,Zulkifli Anwar,Zulkifloyoy,Perjalanan masih jauh,33
6,1386654968845799427,2021-04-26 12:14:42 UTC,pijat panggilan 24jam bisa pilih terapis Wa https://t.co/ncwcC7cBs2 Jakarta makassar manado jogja semarang depok bintaro bsd serpong cimahi cibubur depok bandung surabaya bali pontianak tarakan bangka karawang subang cirebon purwakarta mojokerto mojosari manado tangerang solo https://t.co/MKWBMW0fa7,borobudur_aspect,pr_ten10bali,1380499081353555969,Servis SPA,ServisSpa,,4
7,1384016799994310658,2021-04-19 05:31:33 UTC,@zaloraidn Bismillah Semoga Beruntung. ���� Jawabannya: A. Festival Belanja Online #ZALORAnswer #ZALORAGiveaway Yuk ikutan @BektiSW11 @aditAnakperant1 @PramonoAddin https://t.co/BuQ69ylxIN 751,nerinternet_aspect,pr_nergeneral,2522687458,����Dharwati,CitacitaQHoki,Bismillah ~ ~ ~ Real Account ^Selalu berusaha menjadi lebih baik dari hari kemarin^ #ZALORAnswer #ZALORAGiveaway,8202
8,1387622576885669890,2021-04-29 04:19:37 UTC,RT @PolsekSingkawa2: Gubernur Jawa Tengah Ganjar Pranowo menghimbau masyarakat untuk menahan diri agar tidak mudik Lebaran 2021 dan menyarankan agar melakukan halalbihalal secara virtual dari rumah masing-masing. #SekatAntisipasiMudik Pemudik Putar Balik https://t.co/eieizbTJZp,ganjarpranowo_aspect,pr_politicalresearch,1296312850709745665,@Ross,Ross18673132,Kebahagiaan akan anda rasakan apabila anda merasa bersyukur.,6
9,1383868250006515723,2021-04-18 19:41:16 UTC,Gubernur Jatim brsama jajaran Forkopimda Jatim memberangkatkan bantuan sebanyak 30 truck ke NTT melalui jalur laut,khofifah_aspect,pr_politicalresearch,1347386522983571457,Usyi Nurdiyanti,UsyiNurdiyanti,"Tell me yours, I will tell you mine",77
10,1384883695488798728,2021-04-21 14:56:17 UTC,@basetoko Aku jual aplikasi premium murah nih legal aman full garansi�� bukan apk mod yaa proses cepat banget✨ ��Minat? Dm/chat WA https://t.co/u9B6q6OgyF�� t. Jualan jual netflix spotify youtube viu disney+ hotstar apple music wetv canva iflix murah langganan https://t.co/KC59os1UGC,hiburan_aspect,pr_indekspersepsikonsumen,1329800654819270669,Nuy jual netflix viu spotify disney youtube,nuyamiee,jual aplikasi premium�� order? /chat WA ada di link. testi? cek http://bit.ly/bbydamiee �� mention setelah dm ya,55
11,1389329188759375873,2021-05-03 21:21:05 UTC,"@ShopeeID Semoga beruntung, rezeki, menang ���������� Beli gula dan tepung pati Beli di Pasar Dangung-Dangung Mimin Shopee yang baik hati Menangkan aku handphone Samsung #KejutanWeekendAsik #HadiahJumatBerkah #PuncakRamadanSale ��⭐ 14366",jasa_aspect,pr_indekspersepsikonsumen,1371382424442073089,NMLGA,AlisonChindy,,539
12,1382821740301094916,2021-04-15 22:22:49 UTC,Gubernur Khofifah berpesan agar anak - anak tetep rajin belajar sambil membagikan paket buku n alat tulis,khofifah_aspect,pr_politicalresearch,1359039782727262208,Rio Antoni,Antoni11Rio,Tukang ngaduk semen,23
13,1388020434520526852,2021-04-30 06:40:34 UTC,"WOI SHOPEE, Dah gila ya lw. Kurir gausah ditindas gitu juga kali, fee kurir dipotong, suruh nyicil seragam lah. Gimana mau sejahtera, Shopee tega banget dah :(",ecommerce_aspect,pr_ikonreport,1367091704872923136,Yoghert,Yoghertstrbr,Yoghert enak kalo dingin~,56
14,1388065201719693312,2021-04-30 09:38:27 UTC,"RT @kangmul58: Turut hadir dalam acara silaturahmi tersebut antara lain Ketua DPR RI Puan Maharani, Menteri Pertahanan Prabowo Subianto, Menteri Sosial Tri Rismaharini, Menteri Pekerjaan Umum dan Perumahan Rakyat Basuki Hadimuljono, Sekretaris Kabinet Pramono Anung. https://t.co/cRkMoxjK6N",puanmaharani_aspect,pr_politicalresearch,2506323936,D'Mul14,themul14,#GarudaSiagaRI | #JalinPersatuan,141
15,1385546452127027201,2021-04-23 10:49:51 UTC,Cuma pengen dilancarkan segalanya untuk segala ujian,nerpendidikan_aspect,pr_nergeneral,1448006088,Bintang Jatuh,dessi_25,Mempertahankan tidak semudah meraih,229
16,1385840175771578371,2021-04-24 06:17:00 UTC,Nggak usah kebanyakan mikir sih buat belanja di @LazadaID masa' kamu bisa lewatin gitu aja voucher diskon 90 persen nya. https://t.co/FH0rRat9AE #LazadaVoucherRamadan #SurpriseVoucherSetiapHari Lazada https://t.co/DAc0pznXXt,ecommerce_aspect,pr_ikonreport,1385414169017557000,Rice,Rice29087183,Puasa dulu,1
17,1386172022728773632,2021-04-25 04:15:38 UTC,"Demikian informasi seputar kegiatan Ketum AHY di Samalanga, Aceh, Sabtu (24/4) kemarin. Semoga berguna, dan dapat menjadi pembelajaran untuk kita semua. Amin�� https://t.co/dXe3g698Zx",agusyudhoyono_aspect,pr_politicalresearch,248199104,Partai Demokrat,PDemokrat,"Akun resmi Partai Demokrat. | Harapan Rakyat, Perjuangan Demokrat. IG: @pdemokrat | Facebook: DPP Partai Demokrat | YouTube: Partai Demokrat",174597
18,1382173012372254724,2021-04-14 03:25:00 UTC,Gugatan Baru AHY: Sasar yang Mengaku Jubir dan Pakai Atribut Partai Demokrat https://t.co/2FW5qDy7kP… #AHY,agusyudhoyono_aspect,pr_politicalresearch,1380846170134650883,DPC Demokrat Bontang,BontangDpc,Partai Demokrat Kota Bontang,13
19,1386946708161007618,2021-04-27 07:33:58 UTC,"Megawati Dzikir Tiga Hari Demi Awak Nanggala 402, Warganet: Katanya Gak Percaya Akhirat https://t.co/U1cJOi6Cc7",megawati_aspect,pr_politicalresearch,887743587579944960,MEDIA OPOSISI CERDAS,OposisiCerdas,"""Membidik dari Sudut Pandang yang Berbeda"" Email : oposisicerdas@yahoo.com oposisicerdasnews@gmail.com",84951
20,1385360446392205312,2021-04-22 22:30:43 UTC,"Kata Gubernur Jawa Timur, pemudik bakalan dikarantina 5 x 24 jam &amp; biaya karantina ditanggung sendri, jka ada masyaralkat yg nekat mlakukan mudik",khofifah_aspect,pr_politicalresearch,1356091333203529734,Fatimah Azahra,Fatimahaazhrr,Pecandu cangkir hangat,24
